code,name_vi,name_en,country,province,zip_code
399,Huyện Vĩnh Thạnh,Vinh Thanh,1,35,
400,Huyện Tây Sơn,Tay Son,1,35,
401,Huyện Phù Cát,Phu Cat,1,35,
402,Thị xã An Nhơn,An Nhon Town,1,35,
403,Huyện Tuy Phước,Tuy Phuoc,1,35,
404,Huyện Vân Canh,Van Canh,1,35,
405,Thành phố Tuy Hoà,Tuy Hoa City,1,36,
406,Thị xã Sông Cầu,Song Cau Town,1,36,
407,Huyện Đồng Xuân,Dong Xuan,1,36,
408,Huyện Tuy An,Tuy An,1,36,
409,Huyện Sơn Hòa,Son Hoa,1,36,
410,Huyện Sông Hinh,Song Hinh,1,36,
411,Huyện Tây Hoà,Tay Hoa,1,36,
412,Huyện Phú Hoà,Phu Hoa,1,36,
413,Thị xã Đông Hòa,Dong Hoa Town,1,36,
414,Thành phố Nha Trang,Nha Trang City,1,37,
415,Thành phố Cam Ranh,Cam Ranh City,1,37,
416,Huyện Cam Lâm,Cam Lam,1,37,
417,Huyện Vạn Ninh,Van Ninh,1,37,
418,Thị xã Ninh Hòa,Ninh Hoa Town,1,37,
419,Huyện Khánh Vĩnh,Khanh Vinh,1,37,
420,Huyện Diên Khánh,Dien Khanh,1,37,
421,Huyện Khánh Sơn,Khanh Son,1,37,
422,Huyện Trường Sa,Truong Sa,1,37,
423,Thành phố Phan Rang-Tháp Chàm,Phan Rang-Thap Cham City,1,38,
424,Huyện Bác Ái,Bac Ai,1,38,
425,Huyện Ninh Sơn,Ninh Son,1,38,
426,Huyện Ninh Hải,Ninh Hai,1,38,
427,Huyện Ninh Phước,Ninh Phuoc,1,38,
428,Huyện Thuận Bắc,Thuan Bac,1,38,
429,Huyện Thuận Nam,Thuan Nam,1,38,
430,Thành phố Phan Thiết,Phan Thiet City,1,39,
431,Thị xã La Gi,La Gi Town,1,39,
432,Huyện Tuy Phong,Tuy Phong,1,39,
433,Huyện Bắc Bình,Bac Binh,1,39,
434,Huyện Hàm Thuận Bắc,Ham Thuan Bac,1,39,
435,Huyện Hàm Thuận Nam,Ham Thuan Nam,1,39,
436,Huyện Tánh Linh,Tanh Linh,1,39,
